`manufacturers_id`;`manufacturers_name`;`manufacturers_image`;`date_added`;`last_modified`
`111`;`Magnum Research`;``;`0000-00-00 00:00:00`;`0000-00-00 00:00:00`
`112`;`Magpul`;``;`0000-00-00 00:00:00`;`0000-00-00 00:00:00`
`113`;`Marksman`;``;`0000-00-00 00:00:00`;`0000-00-00 00:00:00`
`114`;`Marlin`;``;`0000-00-00 00:00:00`;`0000-00-00 00:00:00`
`115`;`Marushin`;``;`0000-00-00 00:00:00`;`0000-00-00 00:00:00`
`116`;`Mendoza`;``;`0000-00-00 00:00:00`;`0000-00-00 00:00:00`
`117`;`Mission First Tactical`;``;`0000-00-00 00:00:00`;`0000-00-00 00:00:00`
`118`;`Mossberg`;``;`0000-00-00 00:00:00`;`0000-00-00 00:00:00`
`119`;`MTM Case-Gard`;``;`0000-00-00 00:00:00`;`0000-00-00 00:00:00`
`120`;`National Target Company`;``;`0000-00-00 00:00:00`;`0000-00-00 00:00:00`
`121`;`Newcon`;``;`0000-00-00 00:00:00`;`0000-00-00 00:00:00`
`122`;`Ninja`;``;`0000-00-00 00:00:00`;`0000-00-00 00:00:00`
`123`;`Otis`;``;`0000-00-00 00:00:00`;`0000-00-00 00:00:00`
`124`;`Pellet Pen`;``;`0000-00-00 00:00:00`;`0000-00-00 00:00:00`
`125`;`Phillips Pelletholder`;``;`0000-00-00 00:00:00`;`0000-00-00 00:00:00`
`126`;`Phoenix`;``;`0000-00-00 00:00:00`;`0000-00-00 00:00:00`
`127`;`Plano`;``;`0000-00-00 00:00:00`;`0000-00-00 00:00:00`
`128`;`Predator International`;``;`0000-00-00 00:00:00`;`0000-00-00 00:00:00`
`129`;`Pyramex `;``;`0000-00-00 00:00:00`;`0000-00-00 00:00:00`
`130`;`Pyramyd Air`;``;`0000-00-00 00:00:00`;`0000-00-00 00:00:00`
`131`;`Radians`;``;`0000-00-00 00:00:00`;`0000-00-00 00:00:00`
`132`;`RAM`;``;`0000-00-00 00:00:00`;`0000-00-00 00:00:00`
`133`;`RAM Paintball`;``;`0000-00-00 00:00:00`;`0000-00-00 00:00:00`
`134`;`RCBS`;``;`0000-00-00 00:00:00`;`0000-00-00 00:00:00`
`135`;`Red Jacket Firearms`;``;`0000-00-00 00:00:00`;`0000-00-00 00:00:00`
`136`;`Remington`;``;`0000-00-00 00:00:00`;`0000-00-00 00:00:00`
`137`;`Ruger`;``;`0000-00-00 00:00:00`;`0000-00-00 00:00:00`
`138`;`RWS`;``;`0000-00-00 00:00:00`;`0000-00-00 00:00:00`
`139`;`S&T Armament`;``;`0000-00-00 00:00:00`;`0000-00-00 00:00:00`
`140`;`Sam Yang`;``;`0000-00-00 00:00:00`;`0000-00-00 00:00:00`
`141`;`Schrade`;``;`0000-00-00 00:00:00`;`0000-00-00 00:00:00`
`142`;`Seber`;``;`0000-00-00 00:00:00`;`0000-00-00 00:00:00`
`143`;`Sheridan`;``;`0000-00-00 00:00:00`;`0000-00-00 00:00:00`
`144`;`ShinSung`;``;`0000-00-00 00:00:00`;`0000-00-00 00:00:00`
`145`;`Shooter's Choice`;``;`0000-00-00 00:00:00`;`0000-00-00 00:00:00`
`146`;`Shooters Ridge`;``;`0000-00-00 00:00:00`;`0000-00-00 00:00:00`
`147`;`Shooting Chrony`;``;`0000-00-00 00:00:00`;`0000-00-00 00:00:00`
`148`;`SIG Sauer`;``;`0000-00-00 00:00:00`;`0000-00-00 00:00:00`
`149`;`Simmons`;``;`0000-00-00 00:00:00`;`0000-00-00 00:00:00`
`150`;`Skenco`;``;`0000-00-00 00:00:00`;`0000-00-00 00:00:00`
`151`;`Smith &  Wesson`;``;`0000-00-00 00:00:00`;`0000-00-00 00:00:00`
`152`;`Socom Gear`;``;`0000-00-00 00:00:00`;`0000-00-00 00:00:00`
`153`;`Sportsmatch`;``;`0000-00-00 00:00:00`;`0000-00-00 00:00:00`
`154`;`Spyder`;``;`0000-00-00 00:00:00`;`0000-00-00 00:00:00`
`155`;`SRC`;``;`0000-00-00 00:00:00`;`0000-00-00 00:00:00`
`156`;`Steyr `;``;`0000-00-00 00:00:00`;`0000-00-00 00:00:00`
`157`;`Stoeger Arms`;``;`0000-00-00 00:00:00`;`0000-00-00 00:00:00`
`158`;`Stunt Studios`;``;`0000-00-00 00:00:00`;`0000-00-00 00:00:00`
`159`;`Super Brush`;``;`0000-00-00 00:00:00`;`0000-00-00 00:00:00`
`160`;`Swiss Arms`;``;`0000-00-00 00:00:00`;`0000-00-00 00:00:00`
`161`;`Tactical Crusader`;``;`0000-00-00 00:00:00`;`0000-00-00 00:00:00`
`162`;`Tactical Force`;``;`0000-00-00 00:00:00`;`0000-00-00 00:00:00`
`163`;`Tanfoglio`;``;`0000-00-00 00:00:00`;`0000-00-00 00:00:00`
`164`;`Tasco`;``;`0000-00-00 00:00:00`;`0000-00-00 00:00:00`
`165`;`Taurus`;``;`0000-00-00 00:00:00`;`0000-00-00 00:00:00`
`166`;`Tech Force`;``;`0000-00-00 00:00:00`;`0000-00-00 00:00:00`
`167`;`Tenergy`;``;`0000-00-00 00:00:00`;`0000-00-00 00:00:00`
`168`;`ThermaCELL`;``;`0000-00-00 00:00:00`;`0000-00-00 00:00:00`
`169`;`Thompson`;``;`0000-00-00 00:00:00`;`0000-00-00 00:00:00`
`170`;`Tokyo Marui`;``;`0000-00-00 00:00:00`;`0000-00-00 00:00:00`
